0O_EPA/play,0O_Success Rate (SR),0O_Dropback EPA,0O_Dropback SR,0O_Rush EPA,0O_Rush SR,0D_EPA/play,0D_Success Rate (SR),0D_Dropback EPA,0D_Dropback SR,0D_Rush EPA,0D_Rush SR,1O_EPA/play,1O_Success Rate (SR),1O_Dropback EPA,1O_Dropback SR,1O_Rush EPA,1O_Rush SR,1D_EPA/play,1D_Success Rate (SR),1D_Dropback EPA,1D_Dropback SR,1D_Rush EPA,1D_Rush SR
0.088,0.462,0.169,0.501,-0.017,0.411,0.008,0.421,0.083,0.439,-0.115,0.39,0.134,0.478,0.225,0.506,-0.03,0.427,0.131,0.489,0.192,0.502,0.019,0.464
-0.001,0.459,0.03,0.469,-0.044,0.444,0.007,0.459,0.024,0.467,-0.018,0.447,0.042,0.467,0.184,0.534,-0.106,0.397,-0.103,0.404,-0.054,0.429,-0.214,0.347
0.131,0.476,0.214,0.499,0.024,0.447,-0.003,0.428,-0.046,0.425,0.052,0.432,-0.019,0.444,-0.032,0.442,0.008,0.449,0.149,0.496,0.204,0.518,0.07,0.465
-0.174,0.344,-0.213,0.343,-0.109,0.347,-0.091,0.385,-0.037,0.43,-0.167,0.32,-0.179,0.378,-0.175,0.394,-0.188,0.339,0.108,0.453,0.198,0.497,-0.021,0.389
-0.152,0.419,-0.171,0.41,-0.117,0.435,-0.026,0.433,0.003,0.45,-0.058,0.414,0.055,0.472,0.107,0.495,-0.027,0.437,0.144,0.475,0.258,0.507,-0.015,0.429
-0.066,0.428,-0.033,0.433,-0.116,0.42,0.098,0.425,0.191,0.454,-0.023,0.387,-0.022,0.415,-0.027,0.424,-0.014,0.401,0.077,0.472,0.195,0.527,-0.084,0.398
0,0.423,0.042,0.435,-0.069,0.405,-0.006,0.458,0.057,0.507,-0.136,0.359,-0.12,0.425,-0.095,0.457,-0.165,0.368,0.004,0.452,0.098,0.491,-0.103,0.408
-0.003,0.444,-0.001,0.46,-0.006,0.421,-0.045,0.437,-0.021,0.476,-0.102,0.345,0.153,0.493,0.165,0.503,0.136,0.476,-0.014,0.457,0.034,0.472,-0.105,0.428
-0.015,0.437,-0.011,0.466,-0.02,0.398,0.022,0.44,0.087,0.456,-0.09,0.412,0.001,0.443,0.023,0.451,-0.032,0.431,0.032,0.449,0.049,0.46,0.003,0.431
-0.18,0.404,-0.104,0.448,-0.322,0.321,0.033,0.448,0.119,0.476,-0.083,0.409,0.029,0.418,0.069,0.42,-0.039,0.413,-0.052,0.385,-0.03,0.39,-0.094,0.375
0.156,0.486,0.305,0.522,-0.04,0.438,-0.005,0.427,0.066,0.443,-0.12,0.403,0.061,0.451,0.102,0.449,0.003,0.454,0.021,0.471,0.068,0.486,-0.048,0.448
-0.015,0.439,0.063,0.475,-0.189,0.36,0.014,0.477,0.077,0.513,-0.09,0.417,0.126,0.522,0.21,0.535,0.001,0.502,-0.107,0.422,-0.09,0.448,-0.135,0.382
0.147,0.48,0.239,0.507,-0.04,0.424,0.027,0.453,0.065,0.478,-0.039,0.41,-0.011,0.42,0.07,0.46,-0.15,0.351,-0.117,0.394,-0.108,0.4,-0.134,0.383
0.016,0.451,0.054,0.48,-0.052,0.399,-0.052,0.421,-0.029,0.428,-0.089,0.41,0.034,0.428,0.103,0.443,-0.064,0.408,-0.027,0.439,0.017,0.441,-0.096,0.437